Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1405731,Eshan Market,3648 N Freeway Blvd,Ste 230,Sacramento,CA,95834,2924,SACRAMENTO,Grocery Store,38.638737,-121.49796,,,-13525091.03962152,4670055.067840474
1405881,El Camino Market,1010 El Camino Ave,Ste AB,Sacramento,CA,95815,2594,SACRAMENTO,Convenience Store,38.610611,-121.4433,,,-13519006.31625476,4666047.4324703
1406409,Dollar Tree 8551,1420 Meadowview Rd,,Sacramento,CA,95832,1008,SACRAMENTO,Other,38.480911,-121.5043,,,-13525796.80519315,4647586.945183395
1406628,Dollar Tree 8522,5020 Madison Ave,,Sacramento,CA,95841,2605,SACRAMENTO,Other,38.660599,-121.3485,,,-13508453.228527559,4673171.240786501
1407961,Papa Murphy's Take And Bake Pizza CA143,7832 Gerber Rd,,Sacramento,CA,95828,4302,SACRAMENTO,Specialty Store,38.481167,-121.41252,,,-13515579.902328143,4647623.349469895
1407967,Aery's Market,4710 Auburn Blvd,,Sacramento,CA,95841,3602,SACRAMENTO,Convenience Store,38.653423,-121.35431,,,-13509099.994769067,4672148.280899061
1410283,Saeed Oil Co,2390 Florin Rd,,Sacramento,CA,95822,4403,SACRAMENTO,Convenience Store,38.495461,-121.48312,,,-13523439.058378147,4649656.222141867
1410833,Arco AM PM 7099,4420 E Mack Road,,Sacramento,CA,95823,    ,SACRAMENTO,Convenience Store,38.47393,-121.45172,,,-13519943.626367237,4646594.267185568
1411625,H&S Energy Products LLC 2044,5597 Stockton Blvd,,Sacramento,CA,95820,5414,SACRAMENTO,Convenience Store,38.525284,-121.44233,,,-13518898.336348692,4653898.906580857
1411640,H&S Energy Products LLC 2050,3481 Fair Oaks Blvd,,Sacramento,CA,95864,5705,SACRAMENTO,Convenience Store,38.57444,-121.38345,,,-13512343.844730783,4660895.784691849
1411708,Raj Mini Mart,1441 Meadowview Rd,Ste 106,Sacramento,CA,95832,1000,SACRAMENTO,Convenience Store,38.481647,-121.5034,,,-13525696.617651436,4647691.607855573
1412728,Food4Less 16,3547 Bradshaw Rd,,Sacramento,CA,95827,3304,SACRAMENTO,Supermarket,38.558285,-121.33446,,,-13506890.30287682,4658595.749918828
1413769,Good Taste Market,7117 Walerga Rd,Ste 5,Sacramento,CA,95842,4619,SACRAMENTO,Grocery Store,38.696697,-121.36399,,,-13510177.567439947,4678318.672250224
1415472,Papa Murphy's Ca160 CA160,4340 Arden Way,Ste 1,Sacramento,CA,95864,3100,SACRAMENTO,Specialty Store,38.595268,-121.36266,,,-13510029.512517191,4663861.891623894
1416110,Xieng Khouang Market,4506 Brookfield Dr,,Sacramento,CA,95823,3702,SACRAMENTO,Grocery Store,38.482216,-121.4521,,,-13519985.927773742,4647772.523072401
